Model, Date, Training Time, Evaluation KFold, Evaluation TestSet, AUGMENT, EPOCH, BATCH_SIZE, SEED, KFOLD_SPLIT, PATIENCE
simple_mlp,2021-08-16 20:07:28.258304,66.17871458100126,0.9990204373995463,0.9693333506584167,6,500,150,42,3,10
simple_mlp,2021-08-16 20:09:26.640748,71.77669856099965,0.997749944527944,0.9673333168029785,7,500,150,42,3,10
simple_mlp,2021-08-16 20:11:24.061960,66.08406464899963,0.9974285761515299,0.9679999947547913,8,500,150,42,3,10
simple_mlp,2021-08-16 20:13:45.410452,83.39326006400006,0.998171349366506,0.9653333425521851,9,500,150,42,3,10
simple_mlp,2021-08-16 20:15:21.442491,57.47095226499914,0.9982380867004395,0.9586666822433472,5,500,200,42,3,10
simple_mlp,2021-08-16 20:17:02.544686,58.05208415500056,0.9975509643554688,0.9599999785423279,6,500,200,42,3,10
simple_mlp,2021-08-16 20:18:48.900063,58.80833233799967,0.9987500309944153,0.9593333601951599,7,500,200,42,3,10
simple_mlp,2021-08-16 20:23:55.689667,249.74278461799986,0.9995872974395752,0.9673333168029785,8,500,200,42,3,10
simple_mlp,2021-08-16 20:26:08.050739,72.12802191099945,0.9983999729156494,0.9646666646003723,9,500,200,42,3,10
simple_mlp,2021-08-16 20:27:31.132519,47.213198514000396,0.9983809590339661,0.9613333344459534,5,500,250,42,3,10
simple_mlp,2021-08-16 20:29:18.957011,65.59227622900107,0.9993877609570821,0.9639999866485596,6,500,250,42,3,10
simple_mlp,2021-08-16 20:31:03.608306,57.694491554000706,0.9986785252888998,0.9679999947547913,7,500,250,42,3,10
simple_mlp,2021-08-16 20:33:20.952401,82.33158374900086,0.9988889098167419,0.9633333086967468,8,500,250,42,3,10
simple_mlp,2021-08-16 20:35:35.515131,78.64998129599917,0.9983714620272318,0.9679999947547913,9,500,250,42,3,10
simple_mlp,2021-08-16 20:37:05.681093,54.925625032001335,0.998285710811615,0.9679999947547913,5,500,300,42,3,10
simple_mlp,2021-08-16 20:38:47.324428,60.621971369000676,0.9991428256034851,0.9599999785423279,6,500,300,42,3,10
simple_mlp,2021-08-16 20:41:06.906194,91.45689235999998,0.9986071189244589,0.9593333601951599,7,500,300,42,3,10
simple_mlp,2021-08-16 20:43:12.400704,74.34967940000024,0.999650796254476,0.9580000042915344,8,500,300,42,3,10
simple_mlp,2021-08-16 20:45:10.364744,59.815949408999586,0.9988285700480143,0.9620000123977661,9,500,300,42,3,10
simple_mlp,2021-08-16 20:46:53.534510,65.70632233099968,0.9989999930063883,0.9753333330154419,5,500,350,42,3,10
simple_mlp,2021-08-16 20:48:22.688236,45.78364576000058,0.998081644376119,0.9706666469573975,6,500,350,42,3,10
simple_mlp,2021-08-16 20:49:54.752200,46.104648630000156,0.9977856477101644,0.9573333263397217,7,500,350,42,3,10
simple_mlp,2021-08-16 20:51:42.578038,56.760743247999926,0.9984444379806519,0.9546666741371155,8,500,350,42,3,10
simple_mlp,2021-08-16 20:54:02.142254,78.1075755389993,0.9989428718884786,0.9660000205039978,9,500,350,42,3,10
simple_mlp,2021-08-16 20:55:22.148982,43.92994925400126,0.9990952412287394,0.9593333601951599,5,500,400,42,3,10
simple_mlp,2021-08-16 20:56:59.751018,53.64156090899996,0.9987346529960632,0.968666672706604,6,500,400,42,3,10
simple_mlp,2021-08-16 20:58:29.594427,45.075815102998604,0.9986070990562439,0.9613333344459534,7,500,400,42,3,10
simple_mlp,2021-08-16 21:00:37.586321,77.51184575600018,0.9991111159324646,0.9606666564941406,8,500,400,42,3,10
